F4HS99	Q94C77
Q84MD8	Q9XJ36
O65418	Q9FFT6
F2Y4A3	Q9M876
Q8L7L1	Q9FX54
Q5YDB6	Q9C5P6
Q9SVS0	O82326
Q38898	Q9S829
Q38898	Q93ZN4
O49639	F4JD27
Q9SUW3	Q9T0J3
Q9C5S8	Q9LMJ4
Q8H199	Q9LSI4
Q8GWJ7	Q84TG3
F4JNL1	Q9ZPX5
Q93YP7	Q9LSW8
Q9SUQ3	Q9M876
F4JPD5	O23349
F4JPE9	Q4PSD1
Q6R3L0	O23553
F4JQ51	Q8LD46
Q9STX5	Q4JL84
P51567	Q9SYK5
F4JSJ6	F4IWB9
F4JSJ6	P26569
F4JSJ6	Q9LVI9
Q9STJ7	Q9LE86
Q39110	Q9SJN0
Q9SYS6	O49389
O65607	Q8L968
Q9M0K4	O65375
Q8GYX5	Q9C8C9
Q9SZZ8	O23512
Q9SW00	Q9LZD4
P49597	Q9FY54
Q9C5D7	Q94AP0
O23247	Q9SAH6
O23247	Q8S2T1
Q84K90	Q9SN28
Q84K90	Q8GX25
P22197	Q9FXE3
Q94EH2	Q8L7M3
B3H4K2	Q94AQ6
Q8LEG3	Q9LF03
P55852	Q9M1Y0
Q8H107	P46248
Q9S773	Q9FI15
Q3E9V8	F4K6L4
Q0WQG8	Q8L5Y0
Q9SUE7	Q9C744
Q9M0I6	Q9ZUU4
Q9M0I6	Q9LVV6
Q8LDU0	Q9C901
F4JL94	Q2V4G4
Q8W0Y8	O80891
Q5XF85	Q9LJD7
F4JM51	O04318
Q9ZPI6	F4HPR5
Q9SZD6	F4J8I0
Q42525	Q84JL2
Q42525	Q8W4E2
Q9SU78	Q9C7U7
Q3MV14	Q9MAI8
Q9SZR6	Q9ZQX7
F4JPJ1	F4IQJ2
P19456	Q96250
Q9SUM3	Q8L5Y3
Q9M0A0	Q9LPL6
Q94B52	O22886
O65569	Q8L5V0
Q9FPS3	Q9SIZ2
Q8GWT4	Q9FYJ2
Q9M084	Q9SS53
O49581	B7ZWR7
Q944Q9	P35131
Q9SV22	Q9FY67
Q9SV14	Q9FNM5
O81770	Q9GCB9
O81769	P56820
Q8GUP3	P59169
P51424	Q6NMJ9
Q8GY91	O64750
Q8RWY7	Q9SLH1
F4JUE0	Q9LIP9
P92960	Q1G3I0
Q9M076	Q8RYE9
Q6Q152	Q1PDP9
Q6Q152	Q9SRL7
O82647	O64773
Q9SZA7	Q9LI84
Q9SZB9	Q9M9Y9
Q941D6	Q9C5F3
A2RVW1	Q9SN73
Q9SZC9	P25860
O49482	O65090
O65686	Q9ZW14
O65693	Q8H0T6
F4JLH5	F4JJP1
F4JLI5	P93014
A8MQE1	Q9SGI8
Q9T008	Q9C634
Q8LFC0	P49592
Q8GX93	Q944G9
Q9SAR5	Q9FUZ2
P27450	P48349
O81793	Q9M2J0
Q8L540	Q94AD1
Q7XZP5	F4J556
Q9FYB5	Q9LNJ7
Q70E96	P27521
O23236	F4HXI4
O23220	Q8L7U5
Q94B08	Q8LB08
Q94AC3	Q8GUG7
Q94AC3	Q9FG73
O23176	Q8VY78
O23174	Q94BQ9
O23170	Q9M3C8
Q94K88	Q9SUM2
Q9SZT6	F4J326
F4JS25	O82623
P30183	Q8RWG2
O81108	Q9FL62
O81108	F4J128
Q9T074	Q9STS3
Q02971	Q9XI91
B3H6P6	O04193
F4JTP6	O65355
P43296	Q9FKK7
Q9FEN9	Q9LZ45
Q9SVA7	P93025
Q9SVA6	Q9LSI7
Q680I5	Q9SJD4
A8MRL0	Q8VY47
Q8W571	F4I5B8
Q9LFD1	Q9SV28
Q9LFD0	Q9ZV40
Q9LFC2	Q9FFU7
Q9M038	Q9LK23
Q8L940	Q9SF38
F4KDS0	Q9FE17
P37107	A0A1P8BDL4
Q9FYE4	Q8GY23
Q9FYE3	P11832
O22533	Q84L30
Q8GTR4	P94111
F4JWA1	F4I5B8
Q9LZ27	Q39022
Q9LZ17	Q9FMX0
Q9FF78	Q9FI17
Q9FF66	F4KFU8
Q9FF62	Q8L8A6
Q9FF62	Q1PDK3
Q9FI99	F4IUJ7
Q9FI87	Q9LG23
Q9FG38	F4K9U0
Q9FFZ6	Q9S7H8
Q9C5R8	Q9FH14
Q8L7K4	Q9M1H3
Q9FG08	Q94JX5
Q84JD5	F4KI56
Q9M5J9	Q9LJE5
Q9FL54	Q94K13
Q6XAT2	Q8H1F6
Q9LYP4	Q9FK72
Q4FE45	Q9FJ70
Q9LY17	F4IN23
Q9LY14	Q8L725
Q43316	Q9FN84
Q9FNN5	Q8L831
Q9FNN5	Q9C6Z2
Q9FNN3	O82243
F4KB54	Q9LTW2
F4KCH0	F4I8C2
F4KCK0	Q9LDI3
Q0WPX9	F4HRS2
Q8L4S3	Q8RWY3
F4KCL7	Q93W54
Q9FY66	Q9C5S2
Q9LDZ0	P37107
Q8VZJ1	Q9FE25
P53492	Q9FJX2
B3H6B0	Q9FIM4
B3H6B0	Q8VZB9
F4KGU4	Q8LGF7
Q9LX93	Q852U6
Q56X46	Q8S9J2
Q9LXB4	Q9SQH9
Q8LAY8	Q39022
Q9LEW3	Q9SN68
Q9S7H4	Q7XA65
Q9FY61	Q9M1I1
Q9LFP0	O23346
Q9LYG5	O22176
Q8VZK2	Q9ZQX7
Q9LYH6	Q9SF15
Q8GWI1	Q9ZQZ6
Q1PDX3	Q9SID2
Q9LXV2	F4HZI8
Q9LXV1	A0A1P8BG20
Q8H126	O23207
B7U179	Q9M0R0
Q9FY96	Q6STH5
Q9FY96	Q8VYD6
Q9FY96	P48731
Q9FY95	Q9FI17
F4K2J6	Q9C788
Q9LYR4	P29448
Q96251	Q9SR32
F4K410	Q9LPZ1
Q9FNA4	Q9M8T9
Q9ZSL6	Q42044
Q6ICZ8	Q9FJM0
Q6ICZ8	Q9FEA2
Q9M644	Q9FYJ0
Q94BY3	P82805
P42732	Q9S7J7
Q84K50	O81027
P42737	O23324
P54904	O49326
P54904	Q9SZT4
Q9LFR3	Q9LXK7
Q9LFR0	Q84K25
Q9LXG5	O82229
Q9LXG3	Q8L7H7
Q8GW49	Q9CAJ0
Q9LXG1	Q9LHH7
P46690	Q39057
Q9LXF1	P56762
Q9LXF1	Q0WWT7
Q9LF33	Q84JF2
Q9LF33	Q9FMF8
A5HEI1	Q9M0K4
Q9LFS8	Q9SP32
P42645	Q9ZT78
P42645	F4HQ22
F4KCN6	O22953
Q8VYW7	Q8GUU3
Q9FFF2	P17745
Q9FFE6	F4HQM3
Q9FFE0	Q949R4
Q9FMD9	Q43295
Q9FMD9	Q147F7
Q9SBA5	Q39023
F4KE69	Q93YR5
Q9SPU7	Q9C587
F4KGY6	P51418
Q6PQQ4	Q9XI31
Q8L8R4	Q9SYC8
Q9FN78	Q6AWV3
O50008	P42770
Q9FJG4	Q8RXK6
Q9FK60	O48773
Q9FK60	Q9C5Q8
Q9FK52	P0DI12
Q9SPM5	Q8LPL8
F4JWM0	Q1PEU6
Q94K76	Q9ZSJ0
Q8L8Z8	O81291
Q1PDV2	Q9SA55
Q3E9C3	O64753
Q8GUL8	Q9FIX8
Q8GUL8	Q9C6E4
Q8GUL8	Q9M8U1
B9DHT4	Q9SU24
Q29Q34	Q9LF33
Q84WJ9	Q5PP37
F4K2L8	Q6GKU7
Q9C5U3	Q9C8D9
Q9C5U3	Q8GWT4
Q94BQ2	Q8GZ42
Q94BQ2	Q9ZUG4
Q93ZH9	P47996
Q94BT0	O23234
Q93VG5	Q9FLE4
P84634	Q8W1E4
Q93VM8	Q0WML0
Q2V357	B9DGF6
Q9C595	Q9LRT1
Q9FMS0	Q9C9N3
Q9FMR6	P93749
Q9FK91	Q9FIY7
Q1PDU4	O82316
Q9FNJ2	Q9S804
Q9FNJ2	Q8RWZ5
Q9FN48	Q9SJB4
Q8VZJ5	Q03251
Q9LT00	Q9C551
Q9LSZ9	Q9S7U7
Q9LSZ5	P56799
Q9FF98	Q9XI76
Q9FNG1	Q9SMN5
Q9FNF2	Q0WV86
Q9FIN3	Q9C5H9
Q9FGE4	Q9ZVH3
Q9FLV0	Q43309
F4KIH8	F4IG73
Q8W1D5	Q38873
Q494P1	A8MRI8
Q39071	Q9C695
Q4PSE6	Q9FIZ3
P42043	O81346
Q94K14	Q683D4
Q8VZR2	Q9M1D0
F4JZT3	P37271
O04905	Q941I6
Q8W4E7	Q9FVR1
O04656	Q9ZWC8
O04652	Q9ZV19
F4K498	P60039
Q8LGA5	Q9ZUB2
Q8VZS0	O23404
Q8RXF8	Q4FE45
Q8W5S1	Q9SAB3
Q3E900	C0LGD7
Q8LDK5	Q9SEE9
Q0WRB2	Q93Z30
F4K5S0	Q9LH02
Q8L9R4	Q8L7K0
F4K739	F4HQH8
B3H7K4	Q9FZC1
F4K8J9	Q3E9V8
Q8GUN5	Q94CL7
O65220	Q8VZ55
O65220	Q941D3
O65220	Q43349
Q8VYL1	Q9SKI0
Q9LDI3	Q9STS0
Q2V0Z5	Q9SZR9
Q9FJS7	Q9LDM4
F4K1D8	F4IW10
F4K1G2	Q94A33
Q9LVY0	F4J220
Q9FG65	Q94ID3
B9DGD6	Q147I3
Q9FHW0	Q8GW24
Q9FHU1	F4I3A7
C0LGU1	C0LGQ5
Q1ECL9	Q9S7I8
P42644	Q8GYC1
A0A219HZL6	Q058N4
F4KCZ4	Q9ZUC7
Q9FID6	Q9SIF2
F4KEG7	B3H5E5
P49227	F4JD88
F4KFU8	Q8RW96
Q9FLE4	Q8RY22
Q9SPH0	Q84JG2
Q9FKS3	Q9ZUS8
Q1PDP3	Q9FNL6
Q9FLM8	Q9FF52
Q9LKI5	F4IJK5
Q9FN55	P42748
F4JYE9	O82653
Q9LSX5	Q9LE73
Q9FH02	Q941A7
F4K1J4	O04027
Q9FIG9	Q7XJN0
F4K328	Q9C9I7
F4K329	Q9SJ03
Q9FMM7	Q9MBG6
F4K7D5	Q9SKK4
Q9FNC1	Q9ZV31
Q9FI17	F4K688
Q9FI15	Q8VZU4
Q9FI10	Q9LHR4
Q570K8	Q5S4Y8
Q9LU08	Q9LQP8
F4KAB4	O04616
Q9LU01	Q9FMP8
A3EWL3	Q9FN34
Q9S7J8	F4IPY2
F4KBP5	Q93YP0
Q9FKF0	Q9FX68
Q9FKF0	Q9ZUL3
Q9FKE4	Q9LH31
F4KD71	P48578
F4KEM0	F4IV99
F4KG14	F4JBU0
Q9ZSR7	O24621
Q9FNK4	Q9LRP7
Q9FNK4	Q39199
Q8LGH4	O80573
Q39128	B3H765
Q94A38	P34802
Q9LS25	Q9SY02
Q9LVU1	Q9SG80
Q9FE79	Q9SHV6
Q9FI41	Q9C8Z4
Q8L7D5	Q6NMS3
P55228	Q43348
Q1H5E9	Q84JK1
Q9LV65	Q6NPL0
Q38936	Q6ID97
Q9FJL1	P93824
Q84Q60	Q84TJ7
Q9FGZ5	Q9C9U4
Q9AST5	Q6E260
Q9FGY8	Q9T041
Q8RWS6	Q93W28
Q8RWS6	O81291
Q8GZ99	F4JFN3
Q93W20	F4JP48
Q9LTX3	F4JUP8
Q8VY13	F4K452
Q8VY13	Q9SYS3
F4K8X8	F4K1R2
P0DI74	Q9SLF3
Q8H1Q2	F4IMH3
Q9FLH8	Q94B35
Q9FJ95	F4IC62
Q9FJ82	Q94AW8
Q9LTJ5	Q9FY95
Q9LTJ5	Q9ZQI2
Q9FHC8	Q682V0
Q9FLW9	P58223
Q9LVU8	Q9SIK1
Q9LVU5	Q8LPJ7
Q9FK12	Q9ZSY8
Q9SM23	Q8VZI4
F4JYQ8	Q9SQU6
Q9FN35	F4JI85
O04017	Q9SB04
F4JYU0	F4K8J4
Q9SPG6	O23044
Q8GYH5	F4IHG3
Q9FH37	P92981
F4K1T9	Q9SHU5
Q9FH33	Q96254
Q9FFT9	F4J117
Q9FJ70	F4J181
B3H721	Q8RUZ6
Q9FG71	Q93VH5
P51818	Q1PE89
F4K6B6	O48706
F4K6B8	Q9SRL2
Q9FH13	P59223
Q9FM91	P93812
Q9LVC0	O49538
Q9FJV0	Q9C9L5
Q94K07	P43291
Q9LU73	Q9SUS1
F4KAK0	F4IZC4
Q9LU68	Q9LU10
F4KAK5	Q9LHH7
Q38857	Q9LFW3
Q9FKL2	Q9SV87
Q9FJN6	Q0WQJ1
A0A1P8BA81	O23138
F4KDH9	Q93ZH3
Q9C562	Q9SUT5
Q67ZM7	Q93WB3
Q94BV2	Q9T0B9
P92985	Q9SD34
F4KGE0	Q3EB10
Q42540	F4J9M5
P53494	Q0WP44
Q6NMB6	Q9SR15
Q9LVG5	Q9FJR2
Q9FME4	Q42522
Q9FNR1	Q38900
Q9SAU2	Q8GYX8
Q1PDG8	Q9LRL7
Q9FKF7	Q9LVI8
Q9FKF6	F4HY32
Q9FIT4	Q9C6Z3
Q39189	Q2V419
Q9LVA9	P59223
Q8VZC3	Q8LEU3
P42746	Q9M376
O82481	F4JXN9
Q27GI3	F4J158
Q8W4R3	Q9LRL5
Q8W4R3	Q8VXZ9
Q5RJC5	P49211
Q9FFQ5	Q9FZ21
Q9FFQ4	Q8S9N6
Q9FFQ1	Q945N1
F4KAT5	F4I8J3
Q9LVN7	Q9LZZ9
Q9FMF1	Q9M8R4
Q1ECK2	Q9C8T2
Q9FLF3	B3H4N3
Q9FJP3	Q9SJ28
Q8GWC5	Q84JE8
B5X574	P48523
Q9FHN8	Q9ZVP5
Q05753	F4JF58
Q05753	O04202
Q9FK02	Q9LYG9
Q9FK02	Q9ZVS2
Q9FJY5	Q38936
A0A1P8BDL4	P34047
Q9LVR6	Q9LN03
Q9LVR5	Q9S7U5
Q9LVR1	Q9LQU4
Q1PDF5	Q9SA63
Q9FGC7	O48963
Q9FH95	Q8VY10
Q9FH91	Q9LYR4
Q9FN15	Q94K68
P56764	Q9SRX2
P50546	P38666
P56779	Q9FL44
P56796	B3H4N3
P56802	Q9FZ84
P56801	Q6NM52
P56795	Q9C718
P56805	F4KAK5
Q95747	P48491
P42792	Q9M0F9
P93298	P20115
P93310	F4I6G4
F4IL76	Q9LSA1
P92549	Q9SXJ7
P92559	Q6NPF9
A0A178US29	O64852
A0A178US29	Q8LPK5
A0A178US29	Q9FHB8
A0A178UW40	Q93XX5
A0A178VPF6	Q944J0
A0A1I9LM26	P59220
A0A1I9LN81	Q9FH40
A0A1I9LQZ0	Q9FNH6
A0A1I9LS30	Q9C7D7
A0A1I9LSV7	Q9C835
A0A1I9LSZ9	Q8VY23
A0A1I9LTW1	F4K1U5
A0A1I9LTW1	Q058I4
A0A1P8APG1	Q9LNJ5
A0A1P8APG1	Q9SV55
A0A1P8APQ0	Q84MD6
A0A1P8ARH5	Q949M9
A0A1P8AVI3	Q8LAZ7
A0A1P8B3G3	Q8L9S0
A0A1P8B912	Q9FFJ0
A0A1P8BCF4	F4JMI7
A0A1P8BCM4	Q9LH41
A0A1P8BGB9	P24100
A0A1P8BH81	Q9SXE5
A0A219HZL6	Q9FWR4
A8MQH6	Q9SKT5
A8MR80	Q9LD40
A9X4U2	F4IS71
B3H4L8	Q8H1G0
B3H5S2	Q9FX31
B4F7R9	Q8RYD9
B9DFF4	Q9LZD7
B9DFX7	B9DFX7
B9DFX7	O23145
B9DFX7	Q7X9H6
B9DG91	Q94K74
B9DGA0	Q9FI13
B9DHY8	O80902
C0LGD6	Q8RY98
C0LGD6	Q9SHI7
C0LGD9	Q84MB5
C0LGD9	Q8RY98
C0LGE4	Q8H129
C0LGN2	F4I4R0
C0LGN2	O49652
C0LGN2	O81210
C0LGN2	P25071
C0LGN2	Q7DMA9
C0LGN2	Q8GSF0
C0LGN2	Q8GXM8
C0LGN2	Q9C835
C0LGN2	Q9FVU7
C0LGN2	Q9SMX9
C0LGN2	Q9SNE5
C0LGQ5	Q84N34
C0LGR3	Q3E880
C0LGS2	Q9FHB8
C0LGT1	Q9M0B0
C0LGW2	Q8GUM3
C0LGW2	Q9LTX5
C0LGW2	Q9SJE9
C0LGW2	Q9ZU96
C0Z2L5	O81002
C0Z2L5	Q9FGX2
F4HPH2	Q9C7D7
F4HQB1	Q93Z00
F4HRU9	Q8H1F2
F4HXX2	Q07488
F4HXX2	Q9FX73
F4I1G5	Q9SHI7
F4I1Z0	Q9FJ77
F4I4R0	Q9AST5
F4I4R0	Q9LHA6
F4I764	Q9LII8
F4I7N5	Q9SA63
F4I8E9	Q8L9S0
F4IDV9	Q9C8J8
F4IHS9	Q8VZ58
F4IHS9	Q9M8T0
F4IK01	Q0WQX9
F4IK01	Q8RY09
F4IS56	Q9S744
F4IT98	Q8VZS6
F4J0D8	Q17TI5
F4J3V2	O80774
F4J3V2	P92935
F4J3V2	Q1HDT2
F4J3V2	Q9C9Z6
F4J3V2	Q9M021
F4J3V2	Q9SUY9
F4J6Z1	Q9FZ48
F4J819	Q6NMD6
F4JCU0	O23212
F4JH46	P57752
F4JH46	Q8VYS5
F4JH46	Q944J0
F4JH46	Q9LYI4
F4JL11	Q6NQ78
F4JM82	Q9C7D7
F4JMI7	Q6NQ51
F4JMN0	Q9LK55
F4JN22	Q9M3B3
F4JN35	Q8LA21
F4JRR5	F4JRR5
F4JS23	Q9LV46
F4JXK3	Q9LV28
F4JZD5	Q9FNH6
F4JZM4	Q94F23
F4JZM4	Q9LHA6
F4JZM4	Q9SHI7
F4K1J1	Q9LVU1
F4K1W7	Q8L466
F4K2U8	O49652
F4K2U8	Q8VYS5
F4K2U8	Q9FNH6
F4K5S0	Q9C889
F4K6B8	Q9LMN8
F4KBV0	Q9FWY7
F4KCK0	Q8LC68
F4KCK0	Q9LII8
F4KCL7	F4KCL7
F4KDH9	Q8VYW1
F4KIB2	Q8GYH0
O04086	Q9M272
O04294	Q2VWA2
O04294	Q84K72
O04294	Q8LPR2
O04294	Q9ASS9
O04294	Q9SX65
O04326	P82874
O04567	Q9C7D7
O04567	Q9SX96
O22211	Q9LRT1
O22252	Q9LY44
O22286	Q6NQ80
O22286	Q8VZ91
O22476	O22476
O22476	Q944A7
O22622	Q9M0B0
O22690	Q8VZW1
O22690	Q94BX2
O22703	Q8RWN5
O22768	Q9SKA5
O22808	Q9LUV2
O22833	O64852
O23164	Q8RY98
O23188	Q9SCK1
O23304	Q9AST5
O23304	Q9M132
O23320	P29383
O23693	Q8H1Q4
O23693	Q9C5C9
O23702	Q8H1D9
O23913	Q9LHA6
O24408	Q8L7G0
O24408	Q9LV27
O24457	Q9LQT8
O24646	O80536
O48737	Q9FJT7
O48767	Q84K25
O48963	O48963
O49429	Q9LPZ1
O49484	Q8W104
O49652	Q94F23
O49652	Q9FH21
O49652	Q9M5A9
O64852	Q29Q28
O64852	Q8RX77
O64852	Q9FJI4
O64852	Q9FK28
O64852	Q9FLG2
O64852	Q9LVR4
O64852	Q9SAH1
O65539	Q9LSP7
O65539	Q9LYI4
O65539	Q9SZP6
O80365	Q9ZNV9
O80623	Q9SHI7
O80763	Q84JA7
O80860	Q9SK33
O80871	Q9SSQ7
O80963	Q9FJB4
O81005	Q93WV0
O81027	Q84K25
O81055	Q9LUS6
O81071	Q9SZG0
O81077	P48491
O81316	Q9LVQ8
O81629	Q93ZH7
O81838	Q9T003
O81851	Q39222
O81851	Q9ZR12
O82132	Q7XYY2
O82308	Q9LUV2
O82324	Q94F58
O82799	O82799
O82799	Q17TI5
P0CJ48	P49599
P0DH92	Q9LNJ7
P0DH95	P43294
P0DH95	Q39019
P0DH96	Q9SGN7
P14713	P42497
P18064	Q29QC1
P21276	Q8VZ95
P24100	Q9LRY0
P27140	Q9ZU96
P30187	Q2V359
P31414	Q8RY98
P31582	Q8VZW1
P33077	Q9ZTX8
P35402	Q8L9S0
P35402	Q9LMN8
P35402	Q9M2M5
P35631	P35631
P38389	Q9SSQ7
P41568	Q8VZ95
P42742	Q9T003
P42753	Q9SCR2
P43255	P45432
P46639	Q9LDY9
P46639	Q9SU37
P46640	Q8S897
P47192	Q8VZW1
P47735	Q29PV4
P48002	Q38897
P48006	Q39237
P48491	Q9C994
P48732	Q9LJD7
P49177	Q9ZVN4
P49677	P49677
P49678	Q38825
P49678	Q38826
P51430	Q9SZI2
P53497	Q9ZSK2
P54144	P57752
P57752	Q2PE59
P58048	Q8RXS1
P59220	Q39010
P59220	Q42479
P59220	Q9FIW6
P59220	Q9MAB4
P59277	Q9FI47
P92528	Q9LYI4
P92941	Q8VZW1
P92941	Q9FZK5
P92942	Q9C7D7
P92948	Q42384
P92952	Q94JY4
P92958	Q944A6
P92958	Q9LVG2
P93048	Q9C7D7
P93735	Q8RYE2
P93735	Q9SX96
P93830	Q9ZTX9
Q00218	Q3ECS5
Q05466	Q147H2
Q07488	Q500Z4
Q07488	Q8GYH0
Q07488	Q940H3
Q07488	Q9LIN9
Q07488	Q9SFE9
Q07488	Q9SZG0
Q08466	Q8H1F2
Q08733	Q94CG2
Q08733	Q9LHA6
Q0PW40	Q8H129
Q0PW40	Q9M0V8
Q0V869	Q8VWI0
Q0WNP7	Q8GYC7
Q0WNY5	Q9C7D7
Q0WPQ2	Q9AST5
Q0WQ63	Q8GYH0
Q0WQ63	Q94CG2
Q0WSW1	Q9FNH6
Q0WUK0	Q67ZB3
Q0WV96	Q8L9M7
Q0WWQ5	Q39218
Q1EBV7	Q29Q28
Q1EBV7	Q9FK68
Q1EBV7	Q9SZG0
Q1ECF1	Q9LNW3
Q1H537	Q9LUV4
Q1H5D2	Q8RXL7
Q1PDZ2	Q9LNM6
Q1PE15	Q8LD98
Q1PE48	Q38798
Q1PE48	Q8LEC2
Q1PE48	Q8RY98
Q1PE48	Q8VYS5
Q1PE48	Q9LSP7
Q1PFV9	Q96326
Q29PQ8	Q9ZNV9
Q29Q28	Q9M0B0
Q29Q28	Q9ZU82
Q2HIM5	Q9LFG8
Q2HIM5	Q9LPR6
Q2PE59	Q8VZT3
Q38819	Q9LVD7
Q38824	Q8RYC8
Q38824	Q9C5X0
Q38824	Q9ZTX9
Q38826	Q9XFM0
Q38832	Q9ZSY8
Q38851	Q9LNJ7
Q38873	Q9LSP7
Q39019	Q9CAW9
Q39033	Q9LV90
Q39055	Q8W473
Q39057	Q9FGJ3
Q39080	Q9C835
Q39134	Q9AST5
Q39204	Q8W108
Q39231	Q9SHI7
Q39255	Q8LEA8
Q39258	Q8RY98
Q3E912	Q6NQ51
Q3E965	Q9FNH6
Q3EB02	Q9C595
Q3EB02	Q9SX96
Q3ECE3	Q96331
Q42093	Q8L9S0
Q43725	Q8W108
Q494Q0	Q9M0B0
Q4PL95	Q8L9S0
Q4PS45	Q9SHI7
Q4PSF4	Q9M132
Q500Z4	Q9LU58
Q501E6	Q9SU67
Q56WK6	Q9FNR3
Q56ZN6	Q84N34
Q56ZN6	Q8RY98
Q58CM8	Q9SIT9
Q5KS41	Q9FHB8
Q5XET5	Q9S7L6
Q67ZM7	Q9M9S6
Q6AWX4	Q9LPD5
Q6ID77	Q9ASS9
Q6NLH0	Q8GTS1
Q6NM17	Q9STI6
Q6NMB6	Q94K74
Q6NPD4	Q9SUL8
Q6NPD8	Q84N34
Q6NQ48	Q8H1S2
Q6NQ51	Q9LIL4
Q6NQ51	Q9LY44
Q6NQ63	Q9SK03
Q6NQG7	Q94K66
Q700E4	Q9FLI1
Q7G188	Q7G188
Q7XJ62	Q8LA53
Q84JD6	Q8W4I4
Q84JD6	Q9LUF8
Q84JD6	Q9S7I6
Q84JI2	Q9C9L2
Q84JK2	Q84JK2
Q84JQ4	Q9CA89
Q84K05	Q9STS3
Q84K38	Q8RYE2
Q84L31	Q9MAL9
Q84LH8	Q9LKL2
Q84MB2	Q8LF89
Q84MB2	Q8VYJ6
Q84MB2	Q9LHA4
Q84MB5	Q9FRS6
Q84MB5	Q9ZTZ7
Q84ME1	Q9LHG1
Q84N34	Q945F0
Q84N34	Q9LIC7
Q84N34	Q9M8T0
Q84N34	Q9SID2
Q84N34	Q9SNE5
Q84N34	Q9SSR2
Q84TE8	Q9XHZ3
Q84VW0	Q8VYK7
Q84W98	Q9FII5
Q852U6	Q9FMR6
Q8GSF0	Q8GYC7
Q8GSF0	Q8LBX7
Q8GUN1	Q9FWR4
Q8GW19	Q9MA83
Q8GW24	Q9SCK1
Q8GW47	Q8GW47
Q8GWD1	Q8LAZ7
Q8GWJ7	Q9C835
Q8GX23	Q9FNH6
Q8GX92	Q9LPN5
Q8GXB3	Q9FE63
Q8GXH4	Q9C7D7
Q8GXK5	Q9LPN5
Q8GXL7	Q8GXL7
Q8GXM8	Q9LQM3
Q8GXM8	Q9XFM6
Q8GXN2	Q9SX96
Q8GXW1	Q9MAA7
Q8GYH0	Q9LF32
Q8GYH0	Q9ZU46
Q8GYH0	Q9ZW05
Q8GYS8	Q8VZW1
Q8GYX3	Q8H1E5
Q8H0T6	Q8RYE2
Q8H0U2	Q9SJE9
Q8H101	Q94CG2
Q8H129	Q9LDR2
Q8H129	Q9M8T0
Q8H129	Q9ZPR4
Q8H175	Q9S7W5
Q8H185	Q9SAJ4
Q8H1E5	Q9FM96
Q8H1F1	Q9LZL7
Q8H1F2	Q9FE18
Q8H1F2	Q9SN15
Q8H1F2	Q9SU88
Q8H1F3	Q9S7L6
Q8L4D8	Q9LNB6
Q8L4R0	Q9LNM6
Q8L4X4	Q9LHA6
Q8L586	Q8VZW1
Q8L586	Q94F58
Q8L5A1	Q8LG88
Q8L797	Q8LC68
Q8L7A6	Q9ASS9
Q8L7H7	Q8LPK5
Q8L7M1	Q8RXS1
Q8L7S4	Q8RXD6
Q8L7W3	Q8L7W3
Q8L7Z0	Q9ZVA5
Q8L8N3	Q9LNK7
Q8L9S0	Q8RWZ6
Q8L9S0	Q9FFB7
Q8L9S0	Q9M9U3
Q8L9S0	Q9M9V7
Q8L9S0	Q9ZUH3
Q8L9S0	Q9ZUT3
Q8L9S0	W8PV80
Q8L9Y4	Q9SYG2
Q8LA96	Q9LUY6
Q8LAA6	Q9LU58
Q8LAA6	Q9LUV2
Q8LAS7	Q94C40
Q8LAS7	Q94CG0
Q8LAS7	Q9XIW0
Q8LAW2	Q9S744
Q8LAZ7	Q9AST1
Q8LAZ7	Q9FMR5
Q8LBK6	Q9FIC3
Q8LCY3	Q9C835
Q8LD98	Q8VYA3
Q8LD98	Q9SLK2
Q8LEC2	Q8VZ58
Q8LEC2	Q9M2V7
Q8LEC2	Q9M3B3
Q8LEF3	Q8RWZ3
Q8LEK2	Q9SUL8
Q8LGE3	Q9FHW2
Q8LLD4	Q9FJH0
Q8RWE9	Q9LEV7
Q8RWI9	Q8RY98
Q8RWW0	Q94K74
Q8RWY3	Q9FFH1
Q8RX77	Q8RY98
Q8RXD8	Q93Z00
Q8RXZ4	Q9C8I6
Q8RY98	Q8VY23
Q8RY98	Q9C821
Q8RY98	Q9SJA2
Q8RY98	Q9SQH6
Q8RY98	Q9ZW05
Q8RYE2	Q9SA06
Q8RYE2	Q9SX83
Q8VYS5	Q9SN80
Q8VYS8	Q9CAG5
Q8VZ48	Q8VZW1
Q8VZ58	Q9C835
Q8VZ93	Q9FVU9
Q8VZ95	Q94F58
Q8VZ95	Q9FFK1
Q8VZ95	Q9FKU4
Q8VZ95	Q9M1D0
Q8VZ95	Q9ZVX8
Q8VZE5	Q9LRY5
Q8VZP6	Q9T0A8
Q8VZQ4	Q9T0I5
Q8VZR6	Q9AST5
Q8VZS6	Q9SUQ9
Q8VZU2	Q8VZW1
Q8VZU9	Q940U5
Q8VZW1	Q9FVX3
Q8W0Z7	Q8W0Z7
Q8W0Z9	Q9LSC7
Q8W469	Q9FJT7
Q8W4J8	Q9SCK1
Q8W4R6	Q9M0B0
Q93VH5	Q9C889
Q93W34	Q9LX90
Q93XY2	Q9LZM7
Q93Z00	Q9C9I0
Q93Z00	Q9SA19
Q93Z00	Q9SGP6
Q93Z00	Q9SJG4
Q93Z00	Q9SUH1
Q93ZH9	Q949S3
