Q966H1	P91129
Q20048	Q9N2Z7
P09088	Q9N5S3
H2L0F6	Q9XWK4
Q17353	Q18377
Q23521	Q9GYG1
O45148	Q9TVL3
Q20223	Q21746
P34402	Q65XX1
G5EFL5	P91306
G5EGD2	Q9BI74
H2L0F6	Q20712
C0HLB3	O01802
O61845	Q19418
H2L008	V6CLN5
Q95QC4	Q9U211
P34643	Q9N4A7
O16500	Q17334
Q22559	Q23158
O18302	Q9U2X1
G5EC44	P27798
G5EE56	P91820
B5U8M3	O62259
O02268	P91281
G5ECE7	G5EEN6
O44156	Q21740
O02076	Q04908
Q86NJ4	Q8I0P7
G5EGN3	O62259
G5ED84	Q21307
O76406	Q9GRY9
O02056	Q9NAD6
Q10924	Q9XUK7
Q22866	Q65XX1
Q19537	Q95Y97
Q19418	Q9XV46
O18141	P34599
H2L0F6	O18249
O44797	Q19749
Q20201	Q93348
G5EDU4	H2KYH4
G5EC44	Q17746
G5ED66	Q09565
O62159	Q22835
Q20330	Q95PW9
Q18192	Q9N410
Q94126	Q9N5A8
P20163	P45970
O18118	Q9UAY0
Q9N5N7	Q9TZK8
Q18776	Q93697
P34552	Q19951
B5U8M3	Q94126
P52478	P91419
Q22513	Q9N3H6
P91080	Q09983
O44490	Q22387
G5ED84	Q9XVR6
Q21502	Q86MF0
P18948	Q20498
Q18426	Q21459
O18214	Q9N360
H2L0J8	Q22289
G5EFL5	P91050
H2L0F6	Q09560
O16500	Q9NEV3
G5ECK4	Q8MQE6
E3W735	G5EG53
P55853	Q22866
Q19749	Q7JP75
G5EC44	O45815
Q9N2Z7	Q9XVA4
O01861	Q27365
C0HLB3	P53013
P91001	Q02330
Q09983	Q23390
B6VQ68	Q21746
Q18964	Q95ZS5
Q19016	Q9N5V6
P20154	Q9U3F4
G5EEM0	H2L0B0
Q20010	Q20010
C1P633	P41932
Q19937	Q22289
Q19418	Q19760
O45781	Q17345
G5EFA2	O45952
G5EC36	Q20733
G5EDN8	O18301
H2L0F6	Q9U3P1
O16228	O16228
Q9GYJ3	Q9NEV3
Q2XMY3	Q9BL64
O16850	O62259
A0A078BQL1	Q94057
Q9GYJ7	X5M5W2
O01902	Q95XR4
G5ECG0	P91280
Q9NEV3	Q9NH52
O62203	P42171
O45539	Q21301
G5ECU7	G5ED66
H2L0F6	Q9XU06
G5EBE5	G5ECU7
O45442	Q9N5V3
P91453	P91453
Q19203	Q93560
G5EG60	Q21631
Q03604	Q23179
A0A1N7SYW5	Q9U2N7
G5ECD7	Q19951
O45666	Q9N360
O18302	Q93831
Q09615	Q9TYW5
P91047	Q21746
G5EEM0	O62259
P17487	Q9U1R0
O76447	P34371
Q17436	Q9XXL3
G5EEI4	Q9GSX9
A6ZJ46	Q20435
O61710	Q8MQ71
H2KYY1	O45134
G5EGG0	O17670
Q9N3F2	Q9TXW1
Q20010	Q22078
G5EC44	Q09562
E1B6Q7	E1B6Q7
P54936	Q21484
G5EF60	G5EF60
Q22174	Q95XW2
O62011	Q95XZ0
Q9GYG1	Q9XWJ8
P34657	Q21746
Q17381	Q9NA51
G5EDU4	O18302
H2L0F6	P34643
G5ECZ8	H2KYW5
A0A131MBF9	Q21127
Q21443	Q23593
O18214	Q20201
P34647	Q1ZXS5
G5EEG9	Q09961
O01530	P52478
Q18239	Q9TYR0
Q07292	Q27389
G5EEH0	P34529
O17777	Q18603
Q20950	Q22174
O44797	P34274
Q23604	Q9XU77
Q19465	Q23158
Q86S30	Q9XWJ8
O62256	Q6A573
G5EDS1	P41936
Q18043	Q22174
H2L061	Q9N4A7
O18301	Q19204
Q10666	Q18056
A0A131MBF9	Q17796
P91205	Q9U1T5
Q9N4P3	Q9XXI4
O02273	O45134
A0A0K3AUI8	Q94420
Q9N359	Q9U1W5
G5EC36	Q17381
G5EBV4	Q21648
Q18225	Q9N410
P17329	P17330
O17099	Q20498
Q93906	Q94129
G5EDZ2	Q22003
Q95QR2	Q9U2D3
Q8MXH8	Q9U1X7
O62165	P91829
G5EGG0	O01804
A0A1C3NSL9	P36573
B1V8A0	Q20330
P50880	Q22174
Q19418	Q22430
Q18171	Q20237
Q20010	Q95QC4
A0A0K3AV08	Q9NA61
G5EGN3	Q22826
G5EGT6	Q18343
Q09967	Q45FX5
G5EE56	P46562
G5EGG0	Q95ZI9
Q23045	Q94126
P34441	P34517
B7WN72	Q8IU06
O16364	Q9NES7
P34303	Q9N410
Q93763	Q95QA6
Q17359	Q93831
G5EGF8	Q19418
Q966C6	Q9XVE6
Q9XW01	Q9XW77
H2KZI6	O02289
O02642	Q21952
Q11094	Q22717
Q18776	Q20759
P34666	P54936
O18214	Q17381
Q18605	Q22826
G5EEG1	Q18171
Q95Q91	Q95YF3
P34708	Q20201
G5EBF5	P34529
H2L0F6	Q2XMY3
H2KZY3	Q86S66
A5JYW9	O18214
Q17381	Q94131
